 TIME                    	Cooling                  	Sensible                 	CoolingPower             	CoolingHeatRejection     	Heating                  	HeatingPower             	HeatingHeatAbsorption    	
  +0.0000000000000000E+00	  +2.1219957909652723-314	  +2.1219957909652723-314	  +2.1219957909652723-314	  +2.1219957909652723-314	  +2.1219957909652723-314	  +2.1219957909652723-314	  +2.1219957909652723-314	
  +1.2500000000000000E-01	  -1.2737342799999998E+00	  +4.2761596800000019E+00	  -7.6630874500000008E+00	  -8.9368217300000001E+00	  -5.1265015000000007E+00	  -7.7323524900000029E+00	  +2.6058509900000022E+00	
  +2.5000000000000000E-01	  -1.2737342799999998E+00	  +4.2761596800000019E+00	  -7.6630874500000008E+00	  -8.9368217300000001E+00	  -5.1265015000000007E+00	  -7.7323524900000029E+00	  +2.6058509900000022E+00	
  +3.7500000000000000E-01	  -1.2737342799999998E+00	  +4.2761596800000019E+00	  -7.6630874500000008E+00	  -8.9368217300000001E+00	  -5.1265015000000007E+00	  -7.7323524900000029E+00	  +2.6058509900000022E+00	
  +5.0000000000000000E-01	  -1.2737342799999998E+00	  +4.2761596800000019E+00	  -7.6630874500000008E+00	  -8.9368217300000001E+00	  -5.1265015000000007E+00	  -7.7323524900000029E+00	  +2.6058509900000022E+00	
  +6.2500000000000000E-01	  -1.2737342799999998E+00	  +4.2761596800000019E+00	  -7.6630874500000008E+00	  -8.9368217300000001E+00	  -5.1265015000000007E+00	  -7.7323524900000029E+00	  +2.6058509900000022E+00	
  +7.5000000000000000E-01	  -1.2737342799999998E+00	  +4.2761596800000019E+00	  -7.6630874500000008E+00	  -8.9368217300000001E+00	  -5.1265015000000007E+00	  -7.7323524900000029E+00	  +2.6058509900000022E+00	
  +8.7500000000000000E-01	  -1.2737342799999998E+00	  +4.2761596800000019E+00	  -7.6630874500000008E+00	  -8.9368217300000001E+00	  -5.1265015000000007E+00	  -7.7323524900000029E+00	  +2.6058509900000022E+00	
  +1.0000000000000000E+00	  -1.2737342799999998E+00	  +4.2761596800000019E+00	  -7.6630874500000008E+00	  -8.9368217300000001E+00	  -5.1265015000000007E+00	  -7.7323524900000029E+00	  +2.6058509900000022E+00	
  +1.1250000000000000E+00	  -1.2737342799999998E+00	  +4.2761596800000019E+00	  -7.6630874500000008E+00	  -8.9368217300000001E+00	  -5.1265015000000007E+00	  -7.7323524900000029E+00	  +2.6058509900000022E+00	
  +1.2500000000000000E+00	  -1.2737342799999998E+00	  +4.2761596800000019E+00	  -7.6630874500000008E+00	  -8.9368217300000001E+00	  -5.1265015000000007E+00	  -7.7323524900000029E+00	  +2.6058509900000022E+00	
  +1.3750000000000000E+00	  -1.2737342799999998E+00	  +4.2761596800000019E+00	  -7.6630874500000008E+00	  -8.9368217300000001E+00	  -5.1265015000000007E+00	  -7.7323524900000029E+00	  +2.6058509900000022E+00	
  +1.5000000000000000E+00	  -1.2737342799999998E+00	  +4.2761596800000019E+00	  -7.6630874500000008E+00	  -8.9368217300000001E+00	  -5.1265015000000007E+00	  -7.7323524900000029E+00	  +2.6058509900000022E+00	
  +1.6250000000000000E+00	  -1.2737342799999998E+00	  +4.2761596800000019E+00	  -7.6630874500000008E+00	  -8.9368217300000001E+00	  -5.1265015000000007E+00	  -7.7323524900000029E+00	  +2.6058509900000022E+00	
  +1.7500000000000000E+00	  -1.2737342799999998E+00	  +4.2761596800000019E+00	  -7.6630874500000008E+00	  -8.9368217300000001E+00	  -5.1265015000000007E+00	  -7.7323524900000029E+00	  +2.6058509900000022E+00	
  +1.8750000000000000E+00	  -1.2737342799999998E+00	  +4.2761596800000019E+00	  -7.6630874500000008E+00	  -8.9368217300000001E+00	  -5.1265015000000007E+00	  -7.7323524900000029E+00	  +2.6058509900000022E+00	
  +2.0000000000000000E+00	  -1.2737342799999998E+00	  +4.2761596800000019E+00	  -7.6630874500000008E+00	  -8.9368217300000001E+00	  -5.1265015000000007E+00	  -7.7323524900000029E+00	  +2.6058509900000022E+00	
  +2.1250000000000000E+00	  -1.2737342799999998E+00	  +4.2761596800000019E+00	  -7.6630874500000008E+00	  -8.9368217300000001E+00	  -5.1265015000000007E+00	  -7.7323524900000029E+00	  +2.6058509900000022E+00	
  +2.2500000000000000E+00	  -1.2737342799999998E+00	  +4.2761596800000019E+00	  -7.6630874500000008E+00	  -8.9368217300000001E+00	  -5.1265015000000007E+00	  -7.7323524900000029E+00	  +2.6058509900000022E+00	
  +2.3750000000000000E+00	  -1.2737342799999998E+00	  +4.2761596800000019E+00	  -7.6630874500000008E+00	  -8.9368217300000001E+00	  -5.1265015000000007E+00	  -7.7323524900000029E+00	  +2.6058509900000022E+00	
  +2.5000000000000000E+00	  -1.2737342799999998E+00	  +4.2761596800000019E+00	  -7.6630874500000008E+00	  -8.9368217300000001E+00	  -5.1265015000000007E+00	  -7.7323524900000029E+00	  +2.6058509900000022E+00	
  +2.6250000000000000E+00	  -1.2737342799999998E+00	  +4.2761596800000019E+00	  -7.6630874500000008E+00	  -8.9368217300000001E+00	  -5.1265015000000007E+00	  -7.7323524900000029E+00	  +2.6058509900000022E+00	
  +2.7500000000000000E+00	  -1.2737342799999998E+00	  +4.2761596800000019E+00	  -7.6630874500000008E+00	  -8.9368217300000001E+00	  -5.1265015000000007E+00	  -7.7323524900000029E+00	  +2.6058509900000022E+00	
  +2.8750000000000000E+00	  -1.2737342799999998E+00	  +4.2761596800000019E+00	  -7.6630874500000008E+00	  -8.9368217300000001E+00	  -5.1265015000000007E+00	  -7.7323524900000029E+00	  +2.6058509900000022E+00	
  +3.0000000000000000E+00	  -1.2737342799999998E+00	  +4.2761596800000019E+00	  -7.6630874500000008E+00	  -8.9368217300000001E+00	  -5.1265015000000007E+00	  -7.7323524900000029E+00	  +2.6058509900000022E+00	
  +3.1250000000000000E+00	  -1.2737342799999998E+00	  +4.2761596800000019E+00	  -7.6630874500000008E+00	  -8.9368217300000001E+00	  -5.1265015000000007E+00	  -7.7323524900000029E+00	  +2.6058509900000022E+00	
  +3.2500000000000000E+00	  -1.2737342799999998E+00	  +4.2761596800000019E+00	  -7.6630874500000008E+00	  -8.9368217300000001E+00	  -5.1265015000000007E+00	  -7.7323524900000029E+00	  +2.6058509900000022E+00	
  +3.3750000000000000E+00	  -1.2737342799999998E+00	  +4.2761596800000019E+00	  -7.6630874500000008E+00	  -8.9368217300000001E+00	  -5.1265015000000007E+00	  -7.7323524900000029E+00	  +2.6058509900000022E+00	
  +3.5000000000000000E+00	  -1.2737342799999998E+00	  +4.2761596800000019E+00	  -7.6630874500000008E+00	  -8.9368217300000001E+00	  -5.1265015000000007E+00	  -7.7323524900000029E+00	  +2.6058509900000022E+00	
  +3.6250000000000000E+00	  -1.2737342799999998E+00	  +4.2761596800000019E+00	  -7.6630874500000008E+00	  -8.9368217300000001E+00	  -5.1265015000000007E+00	  -7.7323524900000029E+00	  +2.6058509900000022E+00	
  +3.7500000000000000E+00	  -1.2737342799999998E+00	  +4.2761596800000019E+00	  -7.6630874500000008E+00	  -8.9368217300000001E+00	  -5.1265015000000007E+00	  -7.7323524900000029E+00	  +2.6058509900000022E+00	
  +3.8750000000000000E+00	  -1.2737342799999998E+00	  +4.2761596800000019E+00	  -7.6630874500000008E+00	  -8.9368217300000001E+00	  -5.1265015000000007E+00	  -7.7323524900000029E+00	  +2.6058509900000022E+00	
  +4.0000000000000000E+00	  -1.2737342799999998E+00	  +4.2761596800000019E+00	  -7.6630874500000008E+00	  -8.9368217300000001E+00	  -5.1265015000000007E+00	  -7.7323524900000029E+00	  +2.6058509900000022E+00	
